sortable_name,id,838-Only Assignment: Modern Graphical Perception,838-Only Assignment: Original Sources (reading),838-Only Assignment: Vis Research,838-Only Assignment: Vis in Your Field,Design Challenge 1: Tasks & Critiques of the Standard Design,Discussion 7A: Re-Design,Discussion 7B: Exploring Contrast,Reading 10 & 11: Color,Reading 12: Encodings and Layout,Reading 14 & 15: Graphs and Networks,"Reading 16 & 17: Bi-Variate, Multi-Variate",Reading 18 & 19: Interaction,Reading 1: Getting Started,Reading 20: Too Much Stuff,Reading 21: Uncertainty,Reading 22A: 3D (not D3),Reading 22B: D3 (not 3D),Reading 23: Videos,Reading 2: Perspectives on Visualizations,Reading 3: Why Visualization?,Reading 4: Data and Task Abstraction,Reading 5: Think Differently!,Reading 6: Evaluation -- How do we know it's any good?,Reading 8: Perception 101,Seek and Find 10: Interaction,Seek and Find 11: Too Much Stuff,Seek and Find 12: Uncertainty,Seek and Find 13: 3D,Seek and Find 14: A Last Example,Seek and Find 2: Why Vis This?,Seek and Find 3: Non-Standard Designs,Seek and Find 4: Critique,Seek and Find 5: Perception at Work!,Seek and Find 6: Something Colorful,Seek and Find 7: Name that Encoding!,Seek and Find 8: Graphs,Seek and Find 9: Multi-Variate,Virtual Guest Lecture (Discussion 19)
"Bruton, Buck",3949598,"(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, -6, [(1535, 0), (513, 0)])","(40.0, -7, [(864, 2), (355, 0)])","(40.0, -5, [(84, 2)])","(40.0, -1, [(1692, 1), (1157, 0), (399, 0), (472, 0)])","(40.0, -3, [(1920, 0), (654, 0)])","(50.0, -8, [(1567, 0), (1505, 0), (245, 0)])","(40.0, 0, [(1600, 0), (601, 1)])","(40.0, -1, [(2157, 0)])","(40.0, -12, [(2482, 0), (249, 0)])","(0, 0, [(2169, 0), (471, 0)])","(0, 0, [(1774, 0), (147, 0)])","(25.0, 0, [(858, 0), (387, 0)])","(0, -1, [(1292, 0), (245, 0)])","(40.0, -2, [(1624, 0), (510, 0), (810, 0)])","(40.0, -4, [(2970, 0), (883, 2)])","(40.0, -3, [(1765, 0), (491, 0)])","(50.0, -3, [(2393, 1), (658, 0)])","(40.0, -4, [(2083, 0), (333, 0)])","(40.0, -4, [(1992, 0), (362, 0), (340, 0)])","(40.0, -3, [(1441, 0), (581, 0), (282, 0)])","(40.0, -48, [(1063, 1)])","(50.0, -10, [(669, 0), (1004, 1)])","(40.0, 0, [(476, 1)])","(40.0, -9, [(396, 0), (768, 2)])","(40.0, -1, [(750, 1), (920, 0)])","(40.0, -13, [(1360, 1), (540, 0)])","(40.0, -2, [(1137, 2)])","(40.0, -9, [(1580, 1)])","(40.0, -9, [(809, 2)])","(35.0, -2, [(1364, 1)])","(40.0, 0, [(1594, 1), (118, 0), (92, 0)])","(50.0, -55, [(1373, 1)])","(0, 0, [])","(35.0, -2, [(1823, 0)])"
"Chmielewski, Candida",4359357,"(40.0, -30, [(2954, 0)])","(40.0, -31, [(3775, 0)])","(39.0, -3, [(2216, 0)])","(40.0, -25, [(3461, 1), (387, 0)])","(0, -8, [(2587, 0)])","(40.0, -6, [(485, 1), (270, 0)])","(40.0, -5, [(52, 1)])","(40.0, -7, [(3426, 0), (161, 0), (2172, 0)])","(40.0, -26, [(2804, 0), (447, 0)])","(50.0, -24, [(2451, 0), (1782, 0)])","(40.0, -1, [(2043, 0), (458, 0)])","(40.0, -10, [(2426, 0)])","(40.0, -18, [(899, 0), (697, 0)])","(0, -7, [(1743, 0), (1050, 0), (496, 0)])","(0, -9, [(1862, 0)])","(27.0, -12, [(1692, 0)])","(0, -12, [(1449, 0), (559, 0)])","(30.0, -1, [(1903, 0)])","(40.0, -34, [(1328, 0), (1116, 0)])","(40.0, -9, [(1923, 0), (769, 0)])","(40.0, -5, [(801, 0), (725, 0)])","(40.0, -9, [(1258, 0), (757, 0), (409, 0)])","(40.0, -2, [(2029, 0), (561, 0)])","(40.0, -4, [(2209, 0), (763, 0), (393, 0), (806, 0)])","(40.0, -9, [(753, 1)])","(40.0, -8, [(824, 1)])","(40.0, -29, [(1583, 1)])","(40.0, -5, [(1172, 1)])","(40.0, -1, [(1265, 1)])","(40.0, -60, [(839, 1), (783, 0)])","(40.0, -1, [(1337, 1)])","(45.0, -8, [(1521, 1)])","(40.0, -9, [(574, 1)])","(30.0, -5, [(808, 1)])","(40.0, -2, [(1384, 1)])","(40.0, -9, [(829, 1)])","(0, 0, [])","(40.0, -8, [(1478, 0), (12, 0), (708, 0)])"
"Colonna, Colene",4359340,"(40.0, -2, [(4297, 0)])","(0, 0, [])","(39.0, 0, [(1510, 0)])","(40.0, -4, [(3780, 2)])","(0, 1, [(1501, 0)])","(30.0, 0, [(964, 1)])","(30.0, 1, [(1, 2)])","(35.0, -1, [(1540, 1), (1457, 0)])","(35.0, 0, [(1721, 0)])","(30.0, -3, [(1657, 1)])","(35.0, -4, [(1959, 0)])","(40.0, -3, [(2073, 0)])","(0, 0, [])","(0, -3, [(1978, 0)])","(0, 0, [(2756, 0)])","(25.0, -5, [(1983, 0)])","(0, -1, [(2396, 0)])","(30.0, 0, [(2335, 0)])","(40.0, -3, [(1811, 0), (391, 0)])","(40.0, -1, [(1743, 0), (917, 0)])","(40.0, -2, [(2456, 3), (525, 0)])","(40.0, -3, [(2037, 0), (1475, 1)])","(40.0, -1, [(3327, 0)])","(35.0, -2, [(1777, 0)])","(30.0, 0, [(1041, 1)])","(40.0, -5, [(339, 0), (1161, 1)])","(35.0, 2, [(821, 1), (1303, 0), (316, 0)])","(40.0, -2, [(951, 0)])","(40.0, -6, [(2837, 1)])","(40.0, -38, [(1175, 1), (738, 0), (323, 0)])","(40.0, -1, [(780, 1)])","(40.0, -1, [(1431, 1)])","(40.0, 0, [(833, 1)])","(20.0, 167, [(721, 1)])","(30.0, 1, [(1828, 1)])","(40.0, -1, [(579, 1)])","(0, 0, [])","(35.0, 163, [(2311, 0), (708, 0)])"
"Coppage, Carma",4359330,"(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, -3, [(1317, 0)])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(25.0, -3, [(774, 0)])","(20.0, -6, [(977, 0)])","(25.0, 0, [(392, 0)])","(30.0, -2, [(538, 0)])","(10.0, -13, [(266, 0)])","(0, -1, [(441, 0)])","(0, -6, [(1143, 0)])","(19.0, -1, [(1061, 0)])","(0, 60, [(886, 0)])","(0, 0, [])","(30.0, -5, [(471, 0)])","(30.0, -4, [(458, 0), (293, 0)])","(30.0, -3, [(1119, 0)])","(30.0, -2, [(1134, 0)])","(0, 0, [])","(30.0, -3, [(948, 0)])","(40.0, -2, [(335, 0)])","(40.0, -3, [(479, 0)])","(30.0, -6, [(219, 1)])","(30.0, -8, [(247, 1)])","(0, 0, [])","(40.0, -21, [(595, 1)])","(30.0, -5, [(382, 1)])","(35.0, 0, [(385, 1)])","(0, 0, [])","(0, 0, [])","(40.0, -1, [(1104, 1)])","(0, 0, [])","(0, 0, [])","(35.0, -11, [(766, 0)])"
"Cusic, Chasity",4359360,"(40.0, -76, [(4873, 0), (325, 0)])","(50.0, -4, [(8073, 0), (562, 0)])","(40.0, -4, [(2864, 0)])","(40.0, -57, [(4118, 1), (437, 0)])","(0, -4, [(4331, 0), (399, 0)])","(40.0, -2, [(723, 2), (945, 0)])","(40.0, -1, [(1, 2)])","(50.0, -3, [(4595, 0), (671, 0), (3832, 0), (388, 0)])","(50.0, -2, [(8068, 0), (339, 0)])","(50.0, -6, [(2370, 1), (5346, 0), (417, 0), (464, 0)])","(50.0, -6, [(4649, 0), (1867, 0), (37, 0), (339, 0)])","(40.0, 0, [(5388, 0), (833, 0), (375, 0)])","(40.0, 0, [])","(0, -24, [(3941, 0), (3743, 1), (216, 0)])","(0, -9, [(4575, 0), (408, 0)])","(40.0, -7, [(4087, 0), (379, 0), (204, 0)])","(0, -34, [(4691, 0), (450, 0)])","(45.0, -103, [(3950, 0), (394, 0)])","(40.0, -12, [(2875, 0), (954, 0)])","(40.0, -13, [(5383, 0), (1071, 0)])","(40.0, -26, [(2446, 0), (477, 0)])","(40.0, -31, [(2901, 0), (481, 0), (1748, 1)])","(50.0, -2, [(6327, 0), (639, 0)])","(40.0, -33, [(3544, 0), (1001, 0), (487, 0)])","(45.0, -3, [(2063, 1)])","(50.0, -1, [(2995, 1)])","(40.0, -1, [(1566, 2)])","(40.0, -33, [(1882, 1)])","(40.0, -102, [(3994, 1), (287, 0)])","(40.0, 1, [(1935, 1), (189, 0)])","(50.0, -10, [(1447, 1), (355, 0)])","(50.0, -4, [(2737, 1)])","(40.0, -30, [(746, 1)])","(30.0, -4, [(1204, 1)])","(45.0, -2, [(3712, 1)])","(40.0, 0, [(881, 1)])","(0, 0, [])","(40.0, -13, [(3220, 0), (434, 0)])"
"Dabney, Demetra",4364601,"(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, -23, [(5461, 0)])","(35.0, -18, [(4364, 2)])","(40.0, -18, [(1, 2)])","(42.0, -50, [(4317, 0), (4121, 0)])","(50.0, -12, [(4969, 0), (701, 0)])","(50.0, -9, [(6291, 0), (271, 0)])","(30.0, 50, [(7054, 0)])","(40.0, -71, [(4179, 0)])","(40.0, 0, [])","(0, -27, [(2910, 0)])","(0, -32, [(3734, 0)])","(40.0, -73, [(4292, 0)])","(0, -168, [(3048, 0)])","(35.0, -3, [(3758, 0)])","(50.0, -26, [(3472, 0), (429, 0), (550, 0)])","(40.0, -2, [(5802, 0), (583, 0)])","(30.0, -24, [(1404, 0)])","(50.0, -28, [(2523, 0), (2485, 0)])","(40.0, -27, [(6889, 0)])","(50.0, -20, [(5068, 0), (2255, 0), (1045, 0), (63, 0)])","(45.0, -117, [(1589, 0)])","(40.0, -9, [(2121, 1)])","(50.0, -31, [(1308, 1)])","(40.0, -118, [(1924, 1)])","(50.0, -3, [(5937, 1)])","(40.0, -15, [(1837, 1)])","(0, 0, [])","(45.0, -18, [(3028, 1)])","(50.0, -52, [(1834, 1)])","(40.0, -98, [(1562, 1)])","(40.0, -33, [(3534, 1)])","(50.0, -57, [(2492, 1)])","(0, 0, [])","(37.0, 0, [(2248, 0)])"
"Dargan, Daniella",4359346,"(40.0, -95, [(2521, 0), (204, 0), (235, 0), (63, 0)])","(40.0, -15, [(8691, 0), (262, 0), (325, 0), (217, 0)])","(38.0, -41, [(2470, 0)])","(35.0, -6, [(2896, 2), (239, 0), (210, 0)])","(0, -28, [(638, 0), (309, 0), (92, 0)])","(40.0, -3, [(47, 0), (180, 1), (181, 0), (138, 0), (282, 0)])","(40.0, -1, [(1, 2)])","(50.0, -1, [(4151, 0), (21, 0), (269, 0), (131, 0), (297, 0), (3028, 0), (463, 0)])","(45.0, -49, [(7897, 0), (152, 0), (153, 0), (132, 0), (131, 0)])","(50.0, -51, [(4782, 0), (1105, 1), (157, 0), (42, 0), (152, 0)])","(50.0, -2, [(2766, 0), (204, 0), (209, 1), (109, 0)])","(50.0, -6, [(5086, 0), (145, 0), (77, 0), (265, 0)])","(30.0, -10, [(448, 0), (112, 0)])","(0, 0, [(1664, 0), (2662, 0), (982, 0), (113, 0), (114, 0)])","(0, 0, [])","(35.0, 0, [(1836, 0), (541, 0), (501, 0)])","(0, -35, [(1733, 0), (318, 0), (224, 0)])","(39.0, -49, [(1485, 0), (100, 0), (167, 0)])","(40.0, -18, [(3267, 0), (244, 0), (141, 0)])","(40.0, -1, [(2764, 0), (55, 0), (152, 0)])","(30.0, -1, [(1058, 0)])","(40.0, -19, [(1347, 0), (456, 1), (227, 0)])","(50.0, 0, [(6934, 0), (280, 0), (634, 0)])","(40.0, 0, [(567, 0), (2913, 0), (125, 0), (116, 0)])","(43.0, -36, [(1035, 1), (270, 0), (241, 0)])","(40.0, -6, [(921, 2), (90, 0), (184, 0)])","(0, 0, [])","(40.0, -7, [(918, 1), (139, 0), (231, 0), (20, 0), (170, 0)])","(40.0, -10, [(1660, 1), (190, 0), (322, 0)])","(40.0, -52, [(1147, 1), (179, 0), (78, 0)])","(40.0, -18, [(379, 1), (276, 0)])","(40.0, -3, [(754, 1), (268, 0), (222, 0)])","(40.0, -29, [(1062, 1), (92, 0), (82, 0)])","(30.0, -9, [(142, 0), (633, 1), (71, 0), (113, 0)])","(40.0, -32, [(1429, 1), (107, 0), (124, 0), (93, 0)])","(50.0, -98, [(352, 1), (128, 0), (102, 0), (175, 0)])","(0, 0, [])","(40.0, 0, [(869, 0), (267, 0), (95, 0)])"
"Earheart, Elma",3449992,"(40.0, 0, [(2927, 0)])","(50.0, -1, [(8007, 0), (545, 0)])","(50.0, -3, [(4549, 0), (212, 0), (414, 0)])","(40.0, 0, [(3190, 1), (173, 0)])","(0, 0, [(3164, 0), (463, 0), (305, 0), (179, 0), (452, 0)])","(50.0, 0, [(1743, 2), (252, 0), (340, 0), (309, 0), (222, 0), (367, 0)])","(40.0, 0, [(346, 1), (283, 0), (152, 0), (298, 0), (10, 0)])","(50.0, 0, [(5476, 0), (559, 0), (2847, 0), (97, 0)])","(37.0, -1, [(4614, 0)])","(50.0, 0, [(1985, 0), (1294, 1), (340, 0), (2179, 0)])","(50.0, 0, [(2699, 0), (3848, 1), (621, 1), (270, 0)])","(50.0, -1, [(2494, 0), (1358, 1), (226, 0)])","(40.0, 0, [(1108, 0), (208, 0)])","(0, 0, [(1467, 0), (2869, 0), (404, 0)])","(0, 0, [(3933, 0)])","(30.0, 0, [(2121, 0), (267, 0)])","(0, -7, [(3670, 0), (213, 0)])","(35.0, -1, [(3903, 1), (332, 0)])","(40.0, -1, [(1107, 0), (680, 0)])","(40.0, 0, [(3110, 0), (387, 0)])","(50.0, -1, [(4872, 0), (328, 0)])","(50.0, -2, [(2835, 0), (2470, 0), (1345, 0), (355, 0)])","(50.0, 0, [(4794, 0), (173, 0)])","(40.0, 0, [(4524, 0), (615, 0), (171, 0), (84, 0)])","(40.0, 0, [(859, 1), (192, 0)])","(50.0, 0, [(2183, 1), (294, 0)])","(40.0, -3, [(1108, 1), (264, 1)])","(40.0, -1, [(1928, 1), (311, 0)])","(40.0, 0, [(2663, 3)])","(40.0, 11, [(2239, 1)])","(20.0, 22, [(1707, 1)])","(45.0, -1, [(2068, 1), (454, 0)])","(40.0, -1, [(1597, 1), (386, 0)])","(40.0, -1, [(1965, 1), (364, 0)])","(50.0, -1, [(2954, 1), (682, 0), (355, 0)])","(50.0, -13, [(1455, 1), (626, 0)])","(0, 0, [])","(40.0, 0, [(3296, 0), (373, 0)])"
"Ebright, Ericka",4359363,"(40.0, -9, [(3788, 0)])","(40.0, -5, [(2539, 0), (897, 0)])","(40.0, -2, [(3164, 0), (281, 0)])","(40.0, -13, [(3008, 1)])","(0, -9, [(1996, 0), (172, 0)])","(40.0, -2, [(590, 1), (448, 0)])","(40.0, -1, [(0, 1)])","(35.0, 7, [(2525, 0), (767, 0), (2065, 0)])","(40.0, 0, [(2013, 0), (691, 0)])","(50.0, 0, [(2074, 1), (438, 0), (1968, 0)])","(40.0, 0, [(1705, 0), (397, 0), (545, 1)])","(40.0, 0, [(2354, 0)])","(40.0, -13, [(887, 0), (496, 0)])","(0, 8, [(1960, 0), (2140, 0)])","(0, 0, [(2194, 0)])","(30.0, 0, [(2197, 0), (134, 0), (575, 0)])","(0, 0, [(1342, 0), (319, 0)])","(40.0, 0, [(1953, 0)])","(40.0, -1, [(2291, 0), (833, 0)])","(40.0, -1, [(1780, 0), (885, 0), (491, 0)])","(40.0, -3, [(1546, 0), (495, 0)])","(40.0, -30, [(2371, 0), (1613, 0), (228, 0), (679, 0)])","(50.0, 0, [(2479, 0), (601, 0), (582, 0)])","(40.0, 0, [(1517, 0), (655, 0), (511, 0)])","(40.0, -29, [(1280, 1)])","(40.0, -2, [(813, 1)])","(40.0, -2, [(794, 1)])","(40.0, 0, [(1068, 1)])","(40.0, 0, [(1756, 1)])","(40.0, -34, [(1816, 1), (625, 0), (684, 0), (209, 0)])","(20.0, 10, [(2091, 0)])","(45.0, -4, [(2244, 1)])","(40.0, -23, [(638, 1)])","(30.0, -35, [(994, 2)])","(50.0, -3, [(1440, 2)])","(40.0, -15, [(1003, 1)])","(0, 0, [])","(40.0, -11, [(2315, 0), (644, 0)])"
"Field, Fredric",4359336,"(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, -11, [(1070, 0), (190, 0)])","(30.0, -54, [(221, 2), (543, 0)])","(40.0, -54, [(0, 1)])","(40.0, -5, [(2004, 0), (2206, 0), (638, 0)])","(40.0, -2, [(3214, 0), (478, 0)])","(50.0, -5, [(2885, 0), (1050, 0)])","(45.0, -11, [(1980, 0), (315, 0), (166, 0), (426, 0)])","(40.0, -79, [(2271, 0)])","(30.0, 0, [(344, 0), (152, 0)])","(0, -7, [(2592, 0)])","(0, -6, [(1451, 0)])","(28.0, -2, [(1598, 0), (127, 0)])","(0, -33, [(2484, 0), (346, 0), (1111, 0)])","(40.0, -78, [(2688, 0)])","(40.0, -8, [(868, 0), (346, 0)])","(30.0, -7, [(1109, 0), (156, 0)])","(40.0, -8, [(1124, 0), (155, 0)])","(30.0, -12, [(608, 0), (548, 0), (87, 0)])","(40.0, -30, [(2139, 0), (321, 0)])","(40.0, -5, [(1670, 0), (868, 0), (408, 0)])","(40.0, -123, [(685, 0)])","(40.0, -54, [(889, 1)])","(40.0, -9, [(653, 1), (588, 1)])","(40.0, -27, [(850, 0), (182, 0)])","(40.0, -27, [(2080, 1), (289, 0), (180, 0)])","(40.0, -23, [(413, 1), (110, 0)])","(40.0, -13, [(618, 1), (252, 0)])","(45.0, -54, [(1523, 2)])","(40.0, -36, [(636, 1)])","(30.0, -10, [(813, 0)])","(40.0, -7, [(1545, 1)])","(40.0, -6, [(1167, 1)])","(0, 0, [])","(40.0, -9, [(1182, 0), (478, 0)])"
"Fimbres, Freddie",4359374,"(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, -5, [(1703, 0)])","(0, 0, [])","(40.0, -12, [(49, 2)])","(20.0, -9, [(825, 0)])","(0, 0, [])","(20.0, -13, [(666, 1)])","(35.0, -7, [(882, 0)])","(40.0, -6, [(1435, 0)])","(0, 0, [])","(0, -5, [(257, 0)])","(0, 0, [])","(15.0, -4, [(322, 0)])","(0, -9, [(1086, 0)])","(30.0, -5, [(1153, 0)])","(30.0, -5, [(1222, 0)])","(0, 0, [])","(30.0, -34, [(818, 0), (546, 0)])","(40.0, -7, [(1145, 0), (600, 0), (596, 1)])","(40.0, -7, [(1439, 0), (303, 0)])","(40.0, -12, [(1323, 0), (525, 0)])","(40.0, -3, [(479, 0)])","(30.0, -6, [(225, 1)])","(30.0, -5, [(225, 1)])","(30.0, -7, [(301, 1)])","(40.0, -5, [(960, 1)])","(40.0, 0, [(992, 1), (57, 0)])","(30.0, -6, [(489, 1)])","(35.0, -12, [(701, 1)])","(40.0, -5, [(506, 1)])","(30.0, -12, [(361, 1), (133, 0)])","(40.0, -4, [(760, 1)])","(40.0, -13, [(636, 1)])","(0, 0, [])","(40.0, -8, [(572, 0), (293, 0)])"
"Hersom, Hal",4359322,"(40.0, -5, [(3998, 0)])","(45.0, -5, [(4826, 0), (1000, 0)])","(40.0, -8, [(4002, 0), (49, 0)])","(50.0, -26, [(8993, 1), (761, 0)])","(0, -8, [(2694, 0), (689, 0)])","(50.0, -5, [(1914, 2), (724, 0), (762, 0)])","(40.0, -28, [(33, 1), (198, 0)])","(50.0, -24, [(5461, 0), (357, 0), (390, 0), (4359, 0)])","(50.0, -1, [(7820, 0), (707, 0)])","(50.0, -10, [(5247, 1), (419, 0), (377, 0)])","(50.0, -2, [(3372, 0), (1157, 0), (314, 0)])","(50.0, -10, [(3013, 0), (3428, 0), (521, 0)])","(50.0, -13, [(1574, 0), (880, 0), (658, 0)])","(0, -2, [(4773, 0), (2009, 0), (705, 0)])","(0, -29, [(4907, 0), (489, 0), (725, 0)])","(45.0, -2, [(5349, 0), (797, 0), (677, 0)])","(0, -77, [(3972, 0), (564, 0)])","(50.0, -6, [(7250, 0), (483, 0)])","(40.0, -1, [(2244, 0), (847, 0), (972, 0)])","(50.0, -1, [(4771, 0), (456, 0), (427, 0)])","(40.0, -2, [(2855, 0), (621, 0)])","(50.0, -29, [(2481, 0), (640, 0), (1268, 1), (931, 0)])","(50.0, 0, [(4711, 0), (769, 0), (241, 0), (661, 0)])","(50.0, -2, [(3854, 0), (1867, 0), (778, 0)])","(42.0, -3, [(1156, 1), (302, 0)])","(50.0, -31, [(2111, 1), (998, 0)])","(40.0, -9, [(2245, 1), (639, 0)])","(40.0, -30, [(2355, 3), (763, 0)])","(50.0, -9, [(674, 0), (4773, 1)])","(40.0, -18, [(1224, 1), (605, 0), (525, 0)])","(40.0, -28, [(1430, 1), (434, 0)])","(45.0, -30, [(3251, 1)])","(50.0, -9, [(1993, 1), (729, 0), (77, 0)])","(35.0, -30, [(1364, 1), (142, 0), (206, 0), (772, 0)])","(40.0, -7, [(3112, 2), (872, 0)])","(30.0, -6, [(784, 1), (342, 0)])","(0, 0, [])","(50.0, -8, [(4298, 0), (564, 0)])"
"Indelicato, Imogene",4359323,"(40.0, -3, [(2396, 0)])","(40.0, -10, [(2561, 0)])","(38.0, -4, [(2176, 0)])","(38.0, -32, [(1906, 1)])","(0, -8, [(1062, 0), (276, 0)])","(40.0, -9, [(1730, 1), (843, 0)])","(40.0, -9, [(0, 1)])","(40.0, 0, [(1896, 0), (2006, 0), (416, 0), (297, 0)])","(40.0, -1, [(1611, 0), (595, 0)])","(50.0, -53, [(1443, 1), (26, 0), (249, 0), (1641, 0), (206, 0)])","(37.0, 2, [(1958, 0), (783, 0), (359, 0)])","(40.0, -2, [(1762, 0), (302, 0)])","(40.0, -2, [(853, 0), (577, 0)])","(0, 0, [(1788, 0), (998, 0), (179, 0), (198, 0)])","(0, -1, [(1296, 0), (300, 0), (344, 0)])","(26.0, 0, [(1116, 0)])","(0, -12, [(1029, 0), (304, 0), (190, 0), (343, 0)])","(30.0, -34, [(1380, 0)])","(40.0, -26, [(1430, 0), (367, 0), (838, 0)])","(40.0, -2, [(2017, 0), (620, 0), (798, 0)])","(40.0, -4, [(1692, 0), (668, 0), (103, 0)])","(40.0, -7, [(1090, 0), (449, 0), (1276, 0)])","(50.0, -2, [(2952, 0), (754, 0), (819, 0)])","(40.0, 0, [(844, 0), (656, 0), (318, 0)])","(40.0, 0, [(1095, 1)])","(30.0, 21, [(871, 1), (117, 0)])","(40.0, 0, [(495, 1)])","(40.0, 0, [(902, 1)])","(40.0, -6, [(2378, 1)])","(50.0, -22, [(885, 1), (226, 0), (305, 0), (360, 0), (301, 0)])","(40.0, -1, [(1585, 1), (382, 0)])","(45.0, -11, [(1606, 1), (623, 0)])","(40.0, -10, [(538, 1), (123, 0), (188, 0)])","(30.0, -1, [(674, 1)])","(40.0, -5, [(2158, 1), (469, 0)])","(40.0, -3, [(752, 1)])","(0, 0, [])","(40.0, -2, [(1231, 0), (557, 0)])"
"Ishmael, Idella",4117218,"(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(40.0, -12, [(1282, 0), (98, 0)])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])"
"Isley, Ivy",4387697,"(30.0, 161, [(4202, 0)])","(40.0, -2, [(3095, 0), (510, 0), (273, 0)])","(40.0, 0, [(2897, 0)])","(40.0, 0, [(3652, 1)])","(0, 0, [(2224, 0), (269, 0)])","(40.0, -3, [(796, 2), (526, 0), (70, 0), (413, 0)])","(40.0, -5, [(0, 1), (0, 1)])","(40.0, -33, [(1718, 0), (161, 0), (596, 0), (531, 0)])","(40.0, -47, [(1988, 0), (289, 0)])","(20.0, 139, [(1782, 0), (1418, 0), (366, 0)])","(35.0, 23, [(1657, 0), (334, 0), (76, 0), (877, 0)])","(40.0, -26, [(2543, 0)])","(40.0, 270, [(1343, 0), (849, 0)])","(0, 10, [(1899, 0), (1419, 0), (1079, 0)])","(0, -13, [(1928, 0), (615, 0)])","(27.0, -30, [(1768, 0), (409, 0)])","(0, -7, [(1222, 0), (358, 0)])","(40.0, -35, [(2161, 0), (542, 0)])","(0, 0, [])","(0, 0, [])","(40.0, -1, [(2451, 0), (944, 0)])","(40.0, -10, [(2425, 0), (2041, 0)])","(50.0, -26, [(3484, 0), (768, 0)])","(30.0, 0, [(1085, 0), (1798, 0), (821, 0)])","(40.0, -72, [(726, 0)])","(35.0, 8, [(1830, 1), (331, 0), (138, 0), (216, 0)])","(40.0, -1, [(1195, 1), (407, 0)])","(40.0, -5, [(784, 1), (154, 0)])","(40.0, -34, [(883, 1), (172, 0)])","(40.0, 273, [(486, 1), (56, 0)])","(40.0, -8, [(798, 1), (100, 0), (77, 0)])","(43.0, -47, [(1737, 1), (37, 0), (163, 0), (206, 0)])","(40.0, -26, [(642, 1)])","(40.0, -80, [(585, 1), (154, 0)])","(40.0, -3, [(1430, 1)])","(30.0, 92, [(1003, 1)])","(0, 0, [])","(40.0, -2, [(915, 0), (842, 0), (346, 0)])"
"Jamal, Jackelyn",4359372,"(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, -26, [(1556, 0), (456, 0)])","(35.0, -27, [(1467, 1)])","(40.0, -9, [(54, 0), (253, 1), (100, 0)])","(40.0, -9, [(3091, 0), (1386, 0), (2949, 0)])","(35.0, 0, [(1866, 0)])","(30.0, -23, [(2391, 1), (795, 0)])","(40.0, 0, [(1222, 0), (888, 0)])","(40.0, -20, [(2908, 0)])","(40.0, 0, [])","(0, -7, [(2721, 0)])","(0, -24, [(4506, 0), (300, 0)])","(25.0, 0, [(1819, 0)])","(0, 0, [])","(40.0, -28, [(2966, 0), (110, 0), (520, 0)])","(30.0, -7, [(1502, 0)])","(20.0, -30, [(1312, 0)])","(40.0, -55, [(987, 0), (1078, 0)])","(50.0, -102, [(1338, 0), (862, 0), (490, 0), (726, 0), (245, 0)])","(40.0, -25, [(1646, 0), (977, 0)])","(40.0, -9, [(1283, 0), (614, 0), (368, 0), (231, 0)])","(40.0, -68, [(691, 0)])","(40.0, -55, [(1188, 1)])","(40.0, -24, [(747, 1)])","(40.0, 0, [(679, 1)])","(40.0, -24, [(2726, 1)])","(40.0, -42, [(1016, 1)])","(40.0, -102, [(590, 1)])","(43.0, -72, [(1936, 2), (145, 0)])","(40.0, -26, [(933, 2), (490, 0)])","(30.0, 0, [(721, 1)])","(37.0, -1, [(630, 1)])","(40.0, -32, [(1290, 1)])","(0, 0, [])","(40.0, -25, [(1974, 0), (1287, 0)])"
